中国移动营销行来发展报告alink	王大姐，打字细心一点
当然有神仙姐姐陪着我在这里：#长沙市区#	河马哥，刚看非你莫属，突然觉得你好可爱！
你不屑一顾的，或许正是他人渴求不得的。	幸福不是努力去爱，而是安心的生活。——转自豆瓣
来，美女，跟我做动作，我做啥，你做啥。	哈哈哈哈……完整版的出现了……
兰小胖在加班，兰精灵们在玩什么吖？	好看，亲，你是服装设计师耶。好棒
噗哈哈哈。这小屁孩，欠收拾！	好可爱的bb啊那重复强调用的真妥当。haha
芦山地震七日祭：我们都是幸存者。	我，打心眼里是这样认为的。感恩之余，应将其化为勤奋做事上。
中国十年蹉跎。老夫须发皆白。	老人家、我十年前就看过你的作品！嘿嘿
单位收到广告信函很正常，可这封……实在太无语了啊啊。	他老人家出来收信怕是要吓死几个人
网友对""哈利波特""的相貌预测。	额额额额。！时间是把杀猪刀。！
中国电信三沙分公司正式挂牌。	祝贺并期待取得更好业绩
酒店走廊发现一幅泰国版≪清明上河图≫	刚好高考完了之后会和同学去泰国…………看清明上河图
良心节目这么久才一次广告…	哪像你的趣多多。慢慢都是广告啊！
今日午餐，依旧自带，小米手机，特殊优待。嘿嘿！	张总用的是IPHONE，纯广告贴！
台湾一篇文章震撼两岸：假如中国没有毛泽东！	WK，是到台湾发展5毛了？还是出口转内销的货色？
原来他还有这爱好。	我仰慕多年的勒夫教练。
你家里有山寨充电器么？	原装充电器配山寨线没事吧，大叔。
不容易啊，终于要面世了！	U3D还是Flash3D？看上去很棒啊
我们华仔累了，做完治疗直接在医务室睡了，真不容易啊	那孩子，怎么累成这样啦
试一试？试一试！alink	小9啊小9，我最爱的小9
每天都被自己帅醒「转」	我审美有问题吗，这不是猿猴进化的中间过程吗
小黄鸭，你肿么了（图via蔡阿吻）	我估计么得时间去看你鸟。最近档期好满。
终于没猜错，这爆踩别人脑袋的官方又宣布为：临时工。	出彩了都是临时工，很牛！正式工就更加的牛了！
当你开始寻找时，那个状态才是意义。——蒋勋《孤独六讲》	不是《生活十讲》吗
18代表梁稳根：共产党员易找对象。alink	他说的难道不是是实话吗
受不了了。小唐尼居然这么骚的表情。「转」	这么热的天买个冰西瓜罩在头上吃才是正经事alink
【地球今日警示】珍爱生命，远离指甲油！	湖南卫视有期节目已经说啦没有这么夸张啦！
据说世界上最动听的话就是这三个字，同感的举个手。	今日又有人同我讲呢句话，我真的瘦了？可惜，我不是呢！
下午出版本啦。全员都在玩。终于像个游戏了。	放眼看去，一个mm都没
看到这货的睡姿，真心很想送一把菊花给它。	看到这货的睡姿，真心很想送一把菊花给它。
在场的不在场的兄弟们谢谢你们在北京有你们真好。	凯丰变胖了。看来还是国内能造福瘦子.
同仁医院血案令人扼腕。制度的缺失陷他们于绝境。	如果制度健全、部门尽责，悲剧或许少一些
QQ和360到底咋地了？！谁能给我解释一下，整地我直迷糊！	萨达姆偷了布什家的高压锅然后怨本拉登
《我这个人儿》我若把我的一切告诉你，你还会喜欢我吗？	······我女朋友也是这样·····
这个创意不好么不好么不好么？为什么不让发呢？	反过来翻译挺不错的。
企业，兴在于人，衰也在于人。	关键是如何管理好人！现在的人不是以前了！
看到这篇日志，我默默流泪。（转）	这辈子最对不起的就是自己的老爸老妈。
有些路，只能一个人走，路上的艰辛，只有自己知道。	不可说，说了也无人可知
麻将这样大才够霸气，太小的不要叫我！	有点意思，让我想起前几天拿麻将机当饭桌还吃过两顿饭呢
我想了半天，我还是决定坚持我闲的蛋疼的风格	上条距这条想了半小时
今天香港媒体是这样报道刘翔的	也许这就是真相呢！
在一起时间长了，长相都变得相似起来。	有句话相爱就会相似
这货不会是下水道的外星人派来监视我的吧。(转)	ληΖдджёxxxx。，给你们发现了。愚蠢的人类。
听说CCTV让失散多年的“姐妹花”相遇了	错了，这是传说中的平行空间
#NBA酷图#三年，他给迈阿密人留下了太多难忘瞬间！	掉鞋光脚投中关键三分那张图都不po上去
麻麻、你不在家，爸爸都是这样带我的。「图转」	这娃儿也挺幸福的！
这道题真心做不来啊！【转】	拿出一个陀螺转转，看停不停
看完电影＜昂山素季＞，真想在电影院再看一遍。	别说电影院，搜狐上有吗？
每次早上醒来，才知道晚上要早点睡。	我对自己最大的谎言就是：今天要早睡，明天要早起。
#GQ年度人物2012#倒计时，现场彩排中，你期待今晚吗	哪个有现场直播的地址发来分享一下啊
深夜赴台北观察选举！机票紧张呀。	那就更不能听他的了。他有什么资格对大陆游客指手画脚。
【实用贴】公务员考试常识40000题，有空看看，增加点知识面	考导游证看的书里面也有这种。
【足球趣图】C罗教你如何一秒钟变厄齐尔。272又躺枪了。	我靠！72不能搞那么多基友没说错吧！
#三国show#这才配得上全军突击的气魄！alink	严重侮辱马超的身高！
#吸血鬼#超级希望他们在剧中能够一起！	希望弟弟跟她在一起
苹果公司到底多有钱？看完图你就知道了……转	有钱，我也赞助了。
这个大一新生好像很牛逼的样子	""我要深入广大群众当众才能了解百姓疾苦。""
深夜毒图！看多了小心感染""爱G病""	这是那辆被笑笑不小心摔坏的哪辆吗？孙大老板
田鼠，笑的好傻好幸福哦。（转）	矮油。怎么这么萌啊。
来了哟！alink，惊喜在这里！	suoyizhizhishuguale？
#Vgirl互动#你曾被说过长得像哪个明星？——po主我是：张惠妹	天心。黄圣依。这两个有差吧，说前者多一些
#妮玛的唠嗑馆#情人节什么的都去死吧！	妮玛不是有王小明吗？安妮同学没有自己的王小明？
我擦。幸好肉够多。（转）	这个饲养员不想混啦？
各种狗血电影的基本套路，一针见血呀。（来自：AlvaroNaddeo）	最后来个蛋，等着拍续集啊
一本引发争议的小学教材，你的看法呢？alink	洗脑式的教育要不得
【图说】正面看《新闻联播》；背面看《微博》。	这主播后面是肿么了？
你十七岁喜欢的那个人怎么样了？	没联系了管他怎样？
野猪居然敢偷吃犀牛的草，简直不要命了！	秒杀？！肚子上硕大颗窟窿
飞天圆梦，圆了谁的梦？	神九起飞，到底完了谁的梦？
决然远市井，卖花大海上。随风自东西，不必辨方向。	听天由命，随遇而安。
欧美男人们的自拍，本人自愧不如。	""INEEDAHOLE，whereisit！？""…
#MotoX发布#一款可以DIY的手机，不过合约价199美元，略贵啊	没有看过，什么手机。
11度！下雨！游泳！好爽！水𥚃比较暖！	哈林哥，你是要准备参加铁人三项吗，金假厉害！
1993年。我追过一粒叫王靖雯的星星。	王靖雯的签名好复杂挖。哪像我们王菲又简洁又潇洒。
今天的风是带凉意的，穿件短袖有点冷，秋天来了。	秋天来了，收割季节到了
上海人知道这是什么吗？	桔红膏，糯米的很好吃。
人生为棋，我愿为卒，行动虽慢，可谁曾见我后退一步。	请问海阳现场秀主题曲叫什么名字，就是开场那个片段。
看到易建联头顶了，啊联的fans不用担心，他很多头发！	看了一身起鸡皮，是感动，是震撼，是无奈·····
这个三年级小男孩写的诗好好啊！「via被抢注的二丫」	把一段话分行写也叫诗？
你们觉得移动电源做成什么样才够酷？	圆形，发光，插胸口上←_←
据说是母亲节最感人的gif图！分享感动。	太感人了，妈妈节到了，祝我的妈妈、所有的妈妈健康幸福！
这样的卫生间。太完美了吧！	哪里完美了，感觉很像恐怖片现场呐o>_<o怕怕
#把乐派给你#据说他家的猫最近很烦躁……	还是把他们家的猫训练成不逮耗子的吧
詹姆斯季后赛得分超越大梦的那一球！alink	拿下这一场后就重新夺回主场优势，热火拼吧
傻子太多，骗子们活的很好，而且都扎堆了。这里是机场书店	成功学===都是做鸡汤的
再彪悍的体重也阻止不了那颗想飞的心	对那颗想飞的心来说，体重神马的全都是浮云
「当你遇到彩虹般绚丽的人」《Flipped》	度娘还我百度账号！
今天是妈妈的生日祝妈妈健康长寿开开心心	祝福。（比你婆婆漂亮）
刚出生的小马，萌翻。	怎么有种恶心的感觉。
10月18日，凡客诚品创业三周年，生日快乐。	昨天刚在凡客买了条瘦瘦的裤子，激励自己减肥…
真正的朝圣之旅，不是向东，也不是向西，而是指向内心。	偏偏是人对各种“风景”的兴趣总大于对内心的兴趣！
【比利时——布鲁塞尔】诗一般的城市。#环球旅行#	喜欢这个城市的天空
好了，新的一天开始了，让我们清空悲伤，好好地面对生活吧。	明年再来，今年就当培养年轻球员了
第一次吃自家制的菠萝炒饭味道真好！	帅哥，不运杆怎么还打得那么稳。
文采如此，何须卖盖饭？	想次遗臭万年之榴莲冰淇凌
分享图片苏伟开了4次撞了3次。保险公司哭去吧。	沙克奥尼伟上路前，请预先发布信息，好让我们都避一避！
短暂的假期结束鸟······	真的好温馨。我也好想回家了
深入揭批百度之第四季：今天转晴，由百度管理层直接道歉	唉！百度花了多少钱啊！
午饭河豚！外表可爱其实巨毒！	曹云金曹云金曹云金
某天早晨，我犯了一个错误，看图就知道了。	蛋壳温度承受不了哦
组颇为深刻而犀利的图，名为——理想在上面，现实在下面。	确实犀利而触碰人心，鼠标要慢慢的滑动哦。
【换个角度来看细节】全景展现延安城管如何打人！	强烈要求政府取消城管这一被全国人民痛恨的部门！
【椰奶捞猕猴豆沙】看到的时候，我震惊了！介个你敢吃吗？	这个长得像新浪，有木有觉得？
表白的就再去看看我的签名吧。呵呵。	抱大腿！拉裤脚！亲妈粉爱你就够了！
这就是男人的友谊！我看了10分钟却沉默了一小时！（转）	男人真的不容易啊，这辈子。为朋友，为兄弟，我认了
早上一直在开会，没有感觉到地震啊？	听说京东要转型了？
承诺，有时候，就是一个骗子说给一个傻子听的。	傻子想骗子骗她一辈子，骗子想傻子能傻一辈子。
很有现代感的客厅，可以在地板上打滚了。	很喜欢，但是这要是打扫起来得多长时间啊？
进入微博大家庭，欢迎多多指教！	坐等双开局长的逆袭。
大盘海鲜，要四五个大男人抬出来！太有气势了！	这、、、这是在哪我要去！
缘起，在人群中，我看见你。缘灭，我看见你，在人群中。	我是天空里的一片云，，
小胖纸。看清点路啊！疼！。	瞧你乐的屁颠屁颠的，这不，摔跟头了吧？该！
满屏都是带着批判精神看春晚的。	现场果然有受不住睡着的呀
善款用作行善，否则就是罪恶！	但是在人民币上是不能写字的啊
【为什么你永远翻译不对这50句英语】【全文】alink	ohio。我艹！这错误！受不了
生菜的正确处理方法，好高端啊（转）	太高端了，回家试试！
总觉得像这样的老房子。时光感格外厚重。容易入睡。	让人有种好熟悉的感觉，好怀念啊。
挨多少骂我都得说，春晚就是TM303，即二百五加三八加二加十三。	十三月强烈要求上春宵
补上一张当时钓上苏眉的一瞬间……虽然表情有点囧	看不惯你这个靠着老子炫富的傻逼！
#WCBA总决赛第一场#信兰成和郭士强也现身了……	不一样的杯子。老大就是不一样。
＂这告诉我们一个什么道理呢？＂	告诉我们阳哥不但睡得晚而且起得早！
跳不了那么高你就别隔人扣了。	还第一次看到失败的
这个点到北京，我只能说无限感动！还好到了。到了就好。	你到北京了？我也在！
所谓“中国学生数学NB”的神话	没仔细看，但是我觉得说的很对
日文贴吧，再见！你的第一个FE会永远记得你。	唉，上线慢也就罢了，连下线都这么慢。
当你不知道如何选择的时候，一定是你自己不了解自己的时候。	当你不知道如何选择的时候，一定是你自己不了解自己的时候--
穿成这样，分明黝黑蜗壳	呵呵，好般配的一对，很喜欢杨老师的解说。
【饮咖啡让女孩乳房变小】···各位女士自己睇着办吧！	真的咩！福音啊。妹子。
#图说#那些神乎其神的气功疗法！	右右两只手都很忙吗？
360搜索出现一周年，我的手越来越犯贱！	我也不自觉的手贱了一下！
原来如此，我懂了。	啊！被骗了二十几年。
有时候我可以看得很淡然，有时候我又执着得有些不堪。	无法淡定。太深爱了
最近爱上了一款新的电脑，叫苹果汁！	苹果过时了，要苹果汁
风飘过，让一切都飘过。	很喜欢这样风格的！漂漂！
你能做出瓦肯人的手势吗？「转」	说简单的，两手掌合一起摁紧了再来分试试。
北京的天啊，像不像电影里的寂静岭，早晚有一天被毒死	这就是很典型的“生活在富裕的坟墓里”
“我最讨厌种族主义者和黑人。”文字链接：alink	现实太复杂了，我看书也许只是为寻找复杂后的简单
#吃货也疯狂#老板，来两鸡蛋……接下去。	傍晚儿，我拿个马达子上门口塞太暖儿
这几天的会，有一块在学习微博。确实厉害。	加州州长候选人惠特曼最害怕的人、阿里巴巴副总裁王帅来了
太刺激了，最后坠地的那一刻真是太华丽了！	第三百秒。日方出动战机拦截了
好狠的设计师……这让人怎么上厕所……	这是要吧人憋死吗？！alink
高考是这个时代赐予穷孩子的一粒精神伟哥	穷孩子们也只能指望这为数不多的梯子了
胜利了！很开心！继续努力	今晚的比赛真的很精彩，继续努力吧！
普通朋友和死党的区别。「转」	有病吧？这样的死党滚吧
alink清华女生铊中毒案19年悬而未破公安部称已结案	上午时凤凰网首页有这条新闻，现在已经撤下了
疼老婆的男人才能干大事，同意的转……	疼男人的女人一定是好女人。
当男女换脸后，笑抽我了！（转）	怎么都是男的变恶心了
每到灾难的时候，总能看到爱，“爱是人心之中的圣灵气息”。	爱人如己，求圣灵充满。
说说你听过最恐怖的一句话！	准备好了吗。我们分手吧。
减肥的首个夜晚，四点钟饿醒，作孽啊。	你需要减肥？不大可能吧
未婚人士只能娶一套房子，这是中国近日出台的新婚姻法。	有钱买二套房的，不会是单身！
胖纸的忧伤，有谁能懂。	猫胖可爱，人胖猪扒。！那些不努力去减肥的猪扒也会哀伤？
早上五点出发刚抵达酒店累惨了	估计今天你是不是到现在还没起床呢！
大家好，这是筷子兄弟的官方微博	我是沙发。欢迎筷子兄弟俩
【揭露美国】奥巴马又调皮了，太喜感。	真的假的？挺帅哒。
这不是宝马，这是永久。	这个广告词好！永久牌自行车
到底因为什么，让你放弃治疗？	打了肉毒杆菌还会反弹，放弃那个人还会想起，除非脑死。==
差距啊！中枪的请默默转发！	小米2s32g的，2a，还有小米盒子，谁要啊
你的手机遇到过自动重启么？	粗粮1s，买来就开始自动重启，直到现在。
两个孩子和他的家长	中间的老爸表示我很幸福，
#郑在路上#途中见一坐轮椅的老人在看报。我也要去买份报纸。	看见的是坐轮椅的老人在看报，为啥选择买报纸而非买轮椅呢？
你今天流的汗和泪，都是你当初选专业时脑子进的水……（转）	尽管因为天冷我没出汗我的泪水都咽进肚子里嘞
长沙的莫鱼们，我来了！你们看酒店很花心思来欢迎我呢！	哇，好可爱好漂亮哦。呵呵。
下面18首歌曲中你会5首，就说明你已经老了。(转)	次奥奥奥奥奥奥奥奥奥我果然老了！
#颜色#有种夏天叫做孔雀蓝！	我最爱的颜色，原来叫孔雀蓝…
哈哈。这车锁的。我很佩服这个人的智商啊看懂了就转	太搞笑了高手还没睡醒呢就上路疲劳驾驶啊
话先搁这，伊拉克不败。国足赢了宵夜我请。	吃火锅，烤肉，烤馒头片
眼瞅着戏曲日渐没落。京剧，您还能撑多久？	京剧的衰落，与文化大革命时代的迫害是有直接关系的
江苏陈光标食品产业股份有限公司招聘：alink	每天用的油盐酱醋都很不放心标哥救救我们
最新款户外跑步机，这个有点意思噢。	总感觉好像很容易摔下来
每次吃草莓，都感觉是在舔一个粉刺黑头鼻。替你吐	真行啊。我以后不敢吃草莓了！
麻麻门在哪里啊，瓦们要出门啦。（欢迎童鞋们添加画外音）	出来哪里啊。来我家吧^^
思考：沉浸在自我表演和自我感动中，这样的企业有前途吗？	是否有前途，他们自己都懂！
【读图】今天还上班的，工资高不到哪去。躺枪否。	咳咳，珈宁，你……
台下风光：香港头号女结他手卢凯彤	头号男结他手咁咪你囖
设计师MariaRubinke的作品，很重口味！	的确重口味手贱了。
昨天晚上做梦我回西安翻译学院了，还住进了南一。	汗，关注你两年了，现在才知道。
在南山上看重庆全景。空气有些混浊看得不是很清楚。	怎么可能？一直晴天。
今天，这图可以出现了.白色的北京.	好可爱啊，是你的形象的卡通版？
有时候，我们看不见前面有什么，却还要一直往前走。。	高中时吧，写过一句是：路，只有走过去，才能回头看。
【侃电影】哪部电影看后，感觉特别压抑？小编先来，《告白》	日本很多电影看了跟告白效果一样
一周动物图片精选。(1:1原尺寸大图1.8MB)	教授的动物系都很精致啊
价值混乱，钱就会变成尺度。——陈丹青《荒废集》晚安。	这不就是现实中中国民众的写照嘛？
敢不敢陪我一辈子，不离不弃！	你若不离不弃，我必生死相依……
爱情，让一切皆有可能⋯⋯	木有食物哪来那么多物质造小兔子啊
""你不能决定太阳几点升起，但可以决定自己几点起床。""早安	你起床了，太阳才升起。
这名片！高端！大气！上档次！（转）	不是吧！国家级大师哦
马上开始，全场坐满，超1300名学生。感受真实的淘宝！	高才生云集啊，马到成功。
算了算了，我看出来了，你们都想看男人！上张美男图。	说明小宣是妇女之友，粉丝都是女生
夜间节目不容易做啊，哈哈哈哈	坚持下去努力下去！我们永远陪伴你
听说王立军是被北京国安带走的，现在踢球的势力这么大啊？	天朝的有关部门真的很特殊，很明朝的东厂西厂一样无所不能
苦难磨炼意志，意志产生希望，希望让我们永不言败，早安！	早安，华夏大地寸草寸木.
听岁月在流逝晚安亲爱的≪IWannaBeFree≫alink	怯怯滴问：可以祝我生日快乐么？
刚和考拉亲密接触，我去。这个臭！	其实考拉也是这么想的，吼吼！
为什么这时候大家才关心到医护人员的前景？	中医很有前景。西医还要三班倒，包括护士。
什么是严谨而认真的工作态度？	精力都花在这些地方了。
【娱乐一下】老湿，这手笔太大啦！	突然想起大学教我们统计学的崔爷爷了。祝他身体安康
寿星发言：我爱大家。大家高喊，我们也爱你。	那个不是郎咸平么？
这个小狗，当时基本是家家都有！有木有啊！	嗯，耳朵被我咬掉了，谢谢
夏天只有吃西瓜和睡觉才是正经事！（转）	说的真对。上班什么的都最讨厌了
科比与乔丹的对比图，喜欢的转。	太用心了，这样都找得出来那么多图片
片刻之间，形势大变了。	原来收到了很多蛋糕
0829话题你们单位都搞过什么工作以外的活动比如春游比赛等	以前在物流公司，举行过驾驶员滚轮胎比赛，拍了照片，挺有意思
靠圃义卖1号T恤！这领口改的不错吧！	你为啥拿那么大件的去呢，也不留件大的给我们
人一切的痛苦，本质上都是对自己的无能的愤怒。	人一切的痛苦，本质上都是对自己的无能的愤怒。
这是我的第一份生日礼物，猜猜谁送的？😜	生日了啊，祝你生日快乐、
用书雕刻的景观byGuy-Laramee#MOMO推荐#	看到了熟悉的广辞苑，果然是日式风格啊
活着，是中国。活法，是中国梦。	有空找我来种种玫瑰吧！就不是梦了。别每天琢磨着换车买豪宅了
我擦！被一只走文艺路线的蚊子咬了。	这蚊子肯定是丘比特派来的
好！有骨气！。（图转）	好！有骨气！我要是老师我也打勾
吃大闸蟹，告诉我你们一口气能吃几只？	那要看蟹肥的程度了。
办了临时的，改签了飞机。	会数钱的朋友们大家一起帮忙找！
拜托，一点都不像好吗，他比较好看…我还是人了个妖去吧…	啊，对了，艾姐跟汤唯都很喜欢介样笑的
天使投资家薛蛮子自办电子杂志-科技频道-和讯网alink	你这贴度娘干嘛呢？
安息吧，来世投胎个好人家。	这么隆重啊好友爱心啊
网络攻城狮的语言和发展方向，你懂得	很像程序猿干的活。
本来用的保温壶坏了，所以我换了个新的！	肿么感觉你家的碗也是天朝特产
别用正在充电的手机接听电话，关爱自己，切记！	手机(⊙o⊙)千真万确变成了收雷
你向上帝借了35秒，却要用一辈子来还。「转」	妈的，，则么那么想哭。
据说这是谷歌眼镜后遗症。（图片来自网络）	才出来几天啊，就已经这样啦。
【今晚买的辣椒一切开，吓我一跳！】	额。anythingispossible
重新开始！发张我小宝哥的照片开心一下。	希望你能越大越好。
哼，谁还没有个想当年！	张震岳小时候的像彭于晏呀。
Twitter网友各种神级恶搞内马尔跳水真相	内球王去巴萨真是实至名归啊！
高考结束的那天晚上，你干了些什么？	喝酒喝酒喝酒不醉不归……
人生中10件无能为力的事。	有时候，一个人的牺牲是为了成全另一个人
穷人专用花，还没送的赶紧收花！	好实惠哟。要是有人送我，我也不反对哈哈
加班后酣睡的花样美男，天然骚。	老罗今晚去李志的演出么，有登台献唱的计划么
《海扁王2》Kick-Ass2召集原班主演，锁定R级，2013.6.28北美上映。	超杀女会不会换人？箩莉变美女了
人类已经不能阻止他卖萌了。	太可爱了！对卖萌的宝宝没有免疫力
微信怎么了，大家能发么？	发不了了能说粗话吗？我去年买了个表！
这一集国家地理屌爆了。	这个故事我也听说好，相当的无厘头
有时候，夜深人静，突然觉得不是睡不着，而是固执地不想睡。	我不是一个人在战斗！继续熬夜。
清晨走在这样的小路上，该是多么美妙！	个人赶脚傍晚的感觉也许更美好
原来这样可以拯救地球的，再也不用担心2012了。	妈妈再也不用担心我的学习了
老汉这手艺还行不？红汤肥肠面。	太腐败了，还有虫草！
一杯够一家人喝了！哈哈哈哈好狠的mojito。	介个实惠！夏天整一杯。
你绝对无法想象，把曼妥思扔到啤酒里，会有什么样的结果。	吓坏脑汁了。最后这人死了吗？
幸福就是，虽然上课没听，但发现听的人都没听懂。	这是大学生上课经典名言？
最近超爱红色，可能与我的心情有关	不会又有喜事儿吧。
你常一个人看电影吗？	把最后的表情去掉，孤单是一个人的狂欢
中国简史——果然够简（看完我笑晕了）【全文】alink	中国简史，O(∩_∩)O哈哈哈。
你们真是够了！秀恩爱什么的最讨厌了！（图-9gag）	哟。黄小喵，一脸淡定，gj
埃及街头活动者举牌：“埃及人民授权军队铲除恐怖主义”。	这个……中英阿拉伯文对照吗？
女士们都在抢花。蛋糕都顾不上吃了。	鲜花与蛋糕同上，美女与野兽共享。
舌尖上的记忆——怀念80后的六一儿童节。「图转」	现在都哪找到的这些？
【华夏姓氏图腾】快来看看你的家徽是怎样的。（转）	看不懂啊貌似看到一只炼丹炉。
#百度开发者大会#现场度娘来袭你们觉得呢？	怎么有个像练健美的呢
呵哈哈哈哈哈哈哈哈…我圆满了。	赶紧撮合啊···撮合失败就鄙视你啊。
讨论贴，关于「幸存者马云」。	中国局域网导致外国的网站在中国不成功
深夜话题：给你5万、50万、500万，你会分别怎么创业？（知乎）	不早了该睡了，也到了做梦的时候了啊
【励志贴】岁月有时候也不是一把杀猪刀，而是大力回春丸。	只有力宏是真材实料！
一把年纪了干活还得解一个二元二次方程组，做投资容易么	向你致敬，我已经不会解了
最不幸的事情是什么？最幸福的事情又是什么？	知不幸为最大幸，不知幸为最不幸。
故事：香港政客【全文】alink	从小看无线六点半新闻长大的表示，故事很形象
4月17日晚8点，小规模上新哈。alink	没有名字。第五排的右一是什么呀？
#米聊发图#长见识了，什么叫空调的一机两用（转）	不好！没隐私感！做爱隔壁都听得见
头一次见“国家开放大学”。	你没说到底开放不啊
曼城怎么搞的，孙继海不是状态不错吗，为什么不让首发呢？	已经在热身了。一不小心拉伤了腿！伤退了。
自由不是你想干什么就干什么！而是你不想干什么就不干什么！	话里有话，觉得很深奥，在说谁呀？
好像是大钟寺爱家收藏着火了，里面无数宝贝要遭殃了	是旁边的一个宾馆！火很大！
我喜欢下雨天开着车在城市里逛来逛去，一个人也不找。	天黑了，快点回家睡觉吧
今晚再望月：仍是儿时月，却无少年心。	愿君常忆儿时月，愿君常怀少年心！
生命中最大的课题——坚强。	生命中最大的课题——坚强。
最近北京老是下雪，都已经没有兴趣拍雪景了	看广州等下雨吧……
左边是原产图标右边是老罗团队画的	饿就这样的东西？以前上vi课的时候资料一大把
南都这个亿像素太牛逼了！alink	确实很清晰南都不怕玩大了？
字名人2＜未完待续＞（最后一个简直丧心病狂）（via王中左右）	只有杨幂的名字看不懂，怎么来的？
时光带走了那个凶巴巴的她……（via：热带猫顾顾）	好写实啊现在过马路我先拉我娘的手，怕她反应太慢
“浣碧，扶我下床走走接接地气。”“小主，这里是15楼。”	于是浣碧开窗把小主推了下去
如意……还是系统自动发送alink	如意洗湿了变好小只啊！今天是集体洗澡日？
弘一法师书法---“了世皆如梦，见心无所生”	弘一的字，宛然“心无挂碍”
做不生气的妈妈（via:柏柏BJ的亲子漫画）	妈妈真是世界上最难得工作啊！
什么都不想说，却什么都敢想。	什么都不敢吃却什么都爱吃
好基友一被子。2013.4.20八点左右。莫名感动（吴夕沫）	有心情拿地震开玩笑，你们也笑得出来？
混蛋！放开我的绿萝！	都瘦成骨架了还不让人啃点绿萝妈蛋！摔！
显微镜下的沙子是这样的。	确实，一沙一世界。
北京天气原因无法降落飞机安全降落石家庄向河北人民问好。	来任丘吧任丘没打雷也没有下雨
如果把（西游记）逆向思维…这TMD绝对是一部神作！「转」	这就不是西游记了，而是东游记了。一路向东
求推荐老年人用的app小游戏。我爸以前只会玩pc上的连连看和纸牌	象棋！外公为了下象棋才买的iPad
短信必遭淘汰，立此为证！	说的是废话。手机也必被淘汰。一百年后。
1分钟后竟然爆炸了。太惨了。	哈哈哈2秒后才反应过来哈哈哈哈哈
【搞笑图片】谁说中国木有原创！	拖鞋里的战斗机，哦吔！
应该为此女记上特等功！	6人片长终于突破一分钟！
你毁了我容忍傻逼的能力。——《生活大爆炸》	你让我想起满洲里法院宣传栏里的两朵菊花。
发组最适合北京当前环境的作品.<尘浮.世>	现在看，你好超前啊。太高瞻远瞩了
糗事百科出书喽。5.2折，赶快入手吧alink	应该给糗友们稿费或补偿。
你不懂我的沉默，又怎么会懂我的难过。	不懂我的沉默，又怎会懂我的难过。
有人说“甘肃校车事故被通稿”是造谣。好吧，截个图。	善后工作也要不惜一切代价？
端午节3天假，没钱！没安排！没人陪的转！	有节目，木有钱钱。
世界上最幸福的事，莫过于有个人总是会逗你开心。	那蜜蜂衣我家狗狗也穿过。
今晚来到了南京。朋友介绍了一位好大夫。	我也在南京，你明天还在吗？
土耳其航空的飞机餐。真是烤肉么	竟有这事，我不相信！
今天北京街头惊现。车！没见过！	不会是曾经走过京开高速吧？
复仇者女联盟！外国网友的PS作品，太赞了。！「转」	蝙蝠侠是复仇者联盟？
越狱第一季；越狱第二季；越狱第三季；越狱第四季；完！	越挫越勇的小家伙太可爱了
在上海无睡意谁醒了来找我聊聊天alink	谁在我附近？一起早茶去！
#马刺vs湖人季后赛对决#魔兽和邓肯的上半场数据对比。	不看了睡觉，明天看结果！外面还下起雨
一个圆可以画出很多动物，非常可爱哟。(源自网络)	稀饭…以后日记又多一些小动物了
云南抗旱行这些桶里装的是这一家人三天的生活用水和饮用水	看到榜样的力量，大家心里会更安心
上半场结束，国安目前0-0。	某前锋完全没有预判跑位，速度还没有对手后卫转身加回追速度快
同样是siri差别怎么就这么大呢，养你有什么用	它这是间接暗示你，不如搂在一起睡会儿吧
每年，至少要去一个从没去过的地方。	IwanttogotoYunnanprovincein2013.
如果雍正那会儿有QQ，那《甄嬛传》里边的人……(via:-小俏妞-)	如果雍正那会儿有QQ，那《甄嬛传》里边的人……
理工男玩千手观音，应该是这个范儿。(果壳网)	这个是日本的那个什么组合么
好的照片是不需要ps的……	位置是创意的根源，二师兄，哈哈。
据说是阿哈尔捷金马，也就是汉朝的汗血宝马，身材真好。	我爱上了一匹汗血宝马，可是我没有马场也没有钱。
大丧失！太狗血了。图侵删.	这个。掉节操的问句，床上咋办。
上海第二顿，新荣记野生大黄鱼，鲜！	要么带套，要么大肚。
每天，照进房子里的第一束阳光唤我起床！	呵呵！房间布局风格我都很习喜欢，早安！
发些去年的照片，怀旧一下。谁要养小狗这鞋正好当窝。	要养chiwawa才行吧··
还有什么比这更悲剧的吗？	不能找会上网的丈母娘
生活，一半是回忆，一半是继续。	真的是一半是回忆，一半是继续，我真的在回忆中，又在继续中
当一个老外迷上麻将以后。	民族的也是世界的！
【元宵晚会现场图片3】廖昌永、蔡明演唱《因为爱情》。	这究竟是混搭还是恶搞呢？晚上看了再说吧
动物刚生出来的样子，你肯定是没见过！	你个小王八蛋，鳖孙的。
不管对与错，它都是你生命中重要的一刻。安。	珍惜不能复制的每一刻
神技能！看一遍笑一遍！哈哈哈哈哈哈哈「via酱婶儿」	这是假的吧？不过眼神太到位了
一张表揭开FGW油价之谜！	曲线救国啊，这个游戏玩的好
北邮的厕所，尽显IT奢华。	北邮的兄弟有木有？
明晚一起High爆济南奥体西柳体育场，全场来个重口味	哈哈哈。明天就可以见他了呢。我在济南哦
